scenario_id,implementation,direct_raw_loc,direct_executable_loc,support_raw_loc,support_executable_loc,support_reuse,required_concepts,identity_visibility,leakage_resistance,error_locality,output_labeling,extension_shape,setup_friction,pain_points,elegance_notes,source
RDM-OBS,rsatoolbox-python-0.3.2,18,18,2,2,vector conversion is shared by all Python-rsatoolbox courts,Dataset; observation and channel descriptors; calc_rdm; method string,"sample and feature descriptors are optional metadata; basis, units, scale, and provenance are not required",not applicable to a fixed observation RDM,runtime exceptions or numeric NaN; no per-measurement typed failure,RDMs records a dissimilarity-measure string and pattern descriptors,central method dispatch plus the extensible RDMs container,"ordinary modern Python environment, but importing the package initializes plotting/cache dependencies",the method label euclidean means squared distance divided by channel count,"very concise for the standard case, with scientific conventions carried partly by documentation",tools/reference/mvpa-conformance/rsatoolbox_reference.py
RDM-OBS,pymvpa-2.6.5.dev1,24,24,2,2,array conversion is shared by the PyMVPA courts,Dataset; sample attributes; PDist; PDistTargetSimilarity; metric strings,sample attributes are optional and the condensed output is primarily positional,not applicable to a fixed observation RDM,runtime exception or untyped numeric result,Dataset result plus call-site metric; pair identity must be reconstructed from input order,measure and mapper subclass protocols,"source build, Python-2-to-3 translation, old NumPy pin, and a visible SciPy documentation shim",legacy environment dominates setup; stable pair keys are not intrinsic to the result,compact scientific call once the legacy runtime has been made executable,tools/reference/mvpa-conformance/pymvpa_reference.py
RDM-OBS,scalafim-public,19,18,85,78,"identified axes, evidence, frame, and strategy are shared by three observation courts",AxisRef; EvidenceTable; Observations; fit design; MeasurementFrame; distance; execution strategy,"ordered sample and neural identities, basis, units, scale, and provenance are mandatory and retained",not applicable to a fixed observation RDM,bind errors are typed; a degenerate row is a keyed local MeasurementOutcome.Failed,"typed pair domain, measurement identity, scientific-plan identity, and execution receipt",open typed estimand compiler without editing a central payload enum,normal sbt dependency graph; JVM and Scala.js compile the same court,substantial construction ceremony; target similarity is not a first-class observation estimand,"the run call is coherent, but current low-level public construction is too verbose for routine use",modules/mvpa/shared/src/test/scala/scalafim/fmri/mvpa/scenarios/RsaToolboxObservationConformanceSuite.scala
RDM-XCV,rsatoolbox-python-0.3.2,57,54,2,2,one function supplies whole and fixed-support measurements,Dataset; condition and run descriptors; precision matrix; calc_rdm_crossnobis,"condition, run, and feature descriptors are visible, but complete coordinate identity is optional",run descriptor states crossvalidation; independence is inferred rather than carried as a checked declaration,runtime validation; failures are not isolated by measurement in this direct call,RDMs labels crossnobis and preserves pattern descriptors,method dispatch and RDM model classes,modern pip environment with compiled scientific-Python dependencies,fixed noise orientation and per-channel normalization must be learned from API conventions,excellent brevity for canonical balanced designs,tools/reference/mvpa-conformance/rsatoolbox_reference.py
RDM-XCV,rsatoolbox-matlab-91ad433,23,19,15,11,toolbox path and fixture loading are shared with the RSA comparison court,beta matrix; integer partition and condition vectors; Cholesky whitening; distanceLDC,partition and condition identity is positional; feature identity and provenance are absent,partition vector requests crossvalidation but does not encode an independence certificate,MATLAB errors abort the call; no local measurement outcome,numeric condensed distance vector; labeling is supplied by surrounding workflow code,toolbox functions and MATLAB structs,pinned source plus MATLAB; Octave needs a no-op import shim and explicit package utility path,"prewhitening orientation, positional labels, and toolbox path behavior are implicit","short transparent numerical route, but little self-describing scientific identity",tools/reference/mvpa-conformance/rsatoolbox_matlab_reference.m
RDM-XCV,scalafim-public,21,20,190,182,"one relation source, certified precision, pairing, and frame support crossnobis and RSA","effect, neural, partition, and training axes; capabilities; independence declaration; pairing; frame; strategy","all axes and every measurement support are identified; receipts retain source, fit, and pairing identity",ordered independent edges are declared and checked instead of inferred from unequal ordinals,construction and bind failures are typed; each measurement can fail without discarding siblings,"keyed RDM domain, signed distances, per-measurement receipt, plan identity, and work accounting","new relational estimands add a typed result and compiler instance, not a core enum case",normal sbt build; identical shared test executes on JVM and Scala.js,the honest source/capability/pairing construction is far too ceremonial at this level,strongest scientific audit trail and weakest concise entry experience of the compared crossnobis calls,modules/mvpa/shared/src/test/scala/scalafim/fmri/mvpa/scenarios/RsaToolboxRelationalConformanceSuite.scala
RSA-MODEL,rsatoolbox-python-0.3.2,29,28,65,62,reuses the fitted crossnobis values; model wrapping and comparison are small,RDMs; compare method; explicit regression design; NumPy least squares,condition descriptors label RDMs; regression term identity is maintained by surrounding code,not applicable after the crossvalidated RDM is fixed,runtime shape/numeric errors,comparison matrix for correlations; regression labels are user-managed,rich model-RDM hierarchy and comparison-method dispatch,same modern Python-rsatoolbox environment,weighted-model fitting uses objectives distinct from ordinary intercepted OLS,concise model comparison; explicit NumPy is needed for the exact OLS estimand used here,tools/reference/mvpa-conformance/rsatoolbox_reference.py
RSA-MODEL,rsatoolbox-matlab-91ad433,11,10,38,30,reuses distanceLDC output and toolbox utilities,model vectors; fitModelOLS; corrcoef; rankTransform_equalsStayEqual,model columns and coefficient terms are positional unless labeled externally,not applicable after the crossvalidated RDM is fixed,runtime errors abort the script,numeric scalars/vectors; the wrapper adds explicit term labels to its receipt,MATLAB function conventions and struct workflow,same pinned MATLAB/Octave court,term and pair labeling are external; Octave cannot run the full MATLAB workflow unchanged,the direct statistics are readable and short,tools/reference/mvpa-conformance/rsatoolbox_matlab_reference.m
RSA-MODEL,scalafim-public,63,61,190,182,"reuses the relation source, pairing, precision, and measurement setup","typed fit query; pair domain; named second-order models; Pearson, rank, and regression queries","effect keys, model names, fit identity, and coefficient names survive the query",not applicable after the independently paired fit is fixed,typed query errors and explicit model-domain compatibility checks,typed correlation/regression results tied to one relational fit,open query functions over the relational fit rather than a universal scorer payload,same JVM and Scala.js build,model construction and repeated right-unwrapping obscure the concise scientific intent,clear type relationships and reusable fit; ergonomic façade still needs compression,modules/mvpa/shared/src/test/scala/scalafim/fmri/mvpa/scenarios/RsaToolboxRelationalConformanceSuite.scala
PRED-NFOLD-SL,pymvpa-2.6.5.dev1,23,21,73,70,"dataset, partitioner, and classifier helpers are reused by LDA and every fixed support",Dataset sample/feature attributes; Classifier lifecycle; NFoldPartitioner; CrossValidation; slicing,"sample IDs can be attached, but CrossValidation output does not retain stable source identity by default",the classifier train/predict lifecycle is fold scoped; own-target-freedom is a convention rather than a type,runtime failure generally aborts the measure,"predictions, truth, cvfolds, and stats; assessment sample IDs must be reconstructed","classifier, mapper, partitioner, and measure subclass protocols",source translation plus strict legacy NumPy/SciPy compatibility,"environment fragility, output rekeying, and manual fixed-support orchestration",high-level CV composition remains pleasantly compact once the environment and custom learner exist,tools/reference/mvpa-conformance/pymvpa_reference.py
