assurance_id,scope,law_or_attack,expected_observation,jvm,scala_js,evidence,claim_boundary
MVPA-ASSURE-001,external observation RDM,affine distance metamorphism,"common positive scale and translation multiply squared Euclidean by scale squared while preserving correlation distance",pass,pass,RsaToolboxObservationConformanceSuite observation distances obey their declared affine metamorphisms,declared raw squared Euclidean and row-correlation distances only
MVPA-ASSURE-002,external observation RDM,degenerate correlation row,constant sample produces one keyed local failure rather than NaN or whole-frame abort,pass,pass,RsaToolboxObservationConformanceSuite correlation distance fails locally and explicitly for a constant observation,ScalaFIM failure policy rather than an external-tool parity claim
MVPA-ASSURE-003,predictive preparation,held-out feature perturbation,fold results equal an independent oracle fitted on analysis rows only,pass,pass,PredictiveArchitectureCourtSuite held-out data and target perturbations match one train-only dense oracle,standardized nearest centroid lifecycle
MVPA-ASSURE-004,predictive preparation,own-target perturbation,changing an assessment target cannot alter that sample's scores or prediction,pass,pass,PredictiveArchitectureCourtSuite held-out data and target perturbations match one train-only dense oracle,own-target-freedom for the exercised target-blind preparation
MVPA-ASSURE-005,predictive OOF identity,sample permutation,keyed predictions remain equal after explicit evidence target and group reindexing,pass,pass,PredictiveArchitectureCourtSuite OOF sample run class and seed order laws retain scientific identity,permutation with explicit child axis
MVPA-ASSURE-006,predictive OOF identity,class-order reversal,predictions remain semantically keyed while score-column order follows the declared class axis,pass,pass,PredictiveArchitectureCourtSuite OOF sample run class and seed order laws retain scientific identity,categorical classification result
MVPA-ASSURE-007,predictive binding,missing training class,bind fails before learner execution,pass,pass,PredictiveArchitectureCourtSuite adversarial training-class coverage fails at binding,leave-one-group-out categorical classification
MVPA-ASSURE-008,predictive execution,unsupported backend strategy,operator binary32 solver and materialization mismatches fail closed and valid work reconciles,pass,pass,PredictiveArchitectureCourtSuite strategy admission and execution work fail closed and reconcile,exercised classifier strategy combinations
MVPA-ASSURE-009,predictive scientific identity,truthful run generalization axis,strict source-axis validation rejects an unbound run axis,pass,pass,PyMvpaPredictiveConformanceSuite the current source identity cannot state run as its generalization axis,guard is correct but exposes defect bd-01M0Z5MJ46C70JQ9NNN4GPMJQQ
MVPA-ASSURE-010,relational pairing,pair reversal,reversing every ordered edge transposes the effect form and reverses the edge ledger,pass,pass,RelationalArchitectureCourtSuite pair reversal transposes the effect form and reverses its edge ledger,ordered relational pairing
MVPA-ASSURE-011,relational query,direct versus materialized closure,direct scalar closure equals independent oracle and complete-form contraction,pass,pass,RelationalArchitectureCourtSuite public query independent direct closure and complete-form contraction agree,identity neural query
MVPA-ASSURE-012,relational identity,partition effect and feature reorder,keyed estimand is invariant under explicit independent reorders,pass,pass,RelationalArchitectureCourtSuite partition effect and feature reorderings preserve the keyed estimand,reordered axes remain distinct identities
MVPA-ASSURE-013,relational measurement,leg composition,composed measurement equals explicitly projected relation evidence,pass,pass,RelationalArchitectureCourtSuite composed measurement agrees with explicitly projected relations,linear measurement legs
MVPA-ASSURE-014,crossvalidated geometry,independence falsification,orthogonal independent errors cancel while overlapping errors reveal positive bias,pass,pass,RelationalArchitectureCourtSuite independent orthogonal partition errors cancel while overlapping errors reveal bias,synthetic independence oracle
MVPA-ASSURE-015,crossnobis precision,independent bilinear oracle,certified precision contraction equals hand-computed B-left K B-right-transpose distance,pass,pass,RelationalArchitectureCourtSuite certified crossnobis precision matches an independent bilinear oracle,two-effect two-feature fixture
MVPA-ASSURE-016,relational backend,dense versus matrix-free,effect forms agree and exact operator materialization and avoided-work receipts reconcile,pass,pass,RelationalArchitectureCourtSuite dense and operator execution agree with exact logical-work receipts,portable dense and DoubleLinearOperator evidence
MVPA-ASSURE-017,axis identity,foreign owner and permutation,complete identity preserves keys and rejects equal-shape foreign owners,pass,pass,MvpaGeneratedLawsSuite complete axis identity and permutation retain semantic keys without admitting foreign owners,generated hostile axes
MVPA-ASSURE-018,reindexing semantics,selection injection draw and nesting,kind order and duplicate occurrence identity survive composition,pass,pass,MvpaGeneratedLawsSuite selection injection draw and nested reorder preserve kind order and occurrence identity,generated finite reindexings
MVPA-ASSURE-019,evidence backend,row adjoint measurement and materialization,dense and matrix-free representations obey identical laws with explicit materialization policy,pass,pass,MvpaGeneratedLawsSuite dense and matrix-free evidence obey the same row adjoint measurement and materialization laws,generated tables and operators
MVPA-ASSURE-020,relation capabilities,degenerate rank-deficient and ill-conditioned residuals,PSD residual claims are certified while hostile evidence fails closed,pass,pass,MvpaGeneratedLawsSuite relation capabilities certify degenerate rank-deficient ill-conditioned and hostile residual domains,residual moments are PSD capabilities not precision
MVPA-ASSURE-021,measurement frame,identity and rendition order,scientific frame identity is canonical while descriptive rendition order remains outside it,pass,pass,MvpaGeneratedLawsSuite measurement-frame identity is canonical while rendition order remains descriptive,measurement identity law
MVPA-ASSURE-022,mutation adequacy,identity loss and hidden reorder mutants,the law court rejects both deliberately corrupted alternatives,pass,pass,MvpaGeneratedLawsSuite the conformance court kills identity-loss and hidden-reordering mutants,registered mutants only
MVPA-ASSURE-023,design laws,coverage nesting pairing multiplicity and seeds,valid generated designs satisfy exact coverage and deterministic identity laws,pass,pass,DesignLawsSuite design wrappers obey identity composition coverage nesting pairing multiplicity and seed laws,bounded reproducible generated cases
MVPA-ASSURE-024,design capabilities,type and bind forgery,negative compile and runtime cases cannot fabricate stronger design evidence,pass,pass,DesignLawsSuite negative type and bind cases prevent design-capability forgery,registered negative snippets and bind cases
MVPA-ASSURE-025,precision admission,asymmetric indefinite and substituted matrices,certification rejects bad spectra and binds the certificate to exact value contents,pass,pass,DistanceEstimandsSuite precision certification rejects asymmetric and indefinite matrices plus reused ValueId substitution,strict positive-definite noise precision
MVPA-ASSURE-026,precision backend,dense versus operator certificate,representations of identical numeric precision obtain the same content certificate,pass,pass,DistanceEstimandsSuite dense and operator precision evidence receive the same numeric certificate,certificate construction may evaluate an operator
MVPA-ASSURE-027,precision localization,weighted measurement,precision is not silently pushed through an unsupported weighted leg,pass,pass,DistanceEstimandsSuite relation precision is not silently transported through a weighted measurement,identity and hard selection are the admitted localization policies
MVPA-ASSURE-028,crossvalidated distance,signed null,negative unbiased estimates remain signed rather than clamped,pass,pass,RsaToolboxRelationalConformanceSuite fixed-precision crossnobis matches both RSA toolboxes across measurements,canonical external fixture
