case	domain	row_one_based	col_one_based	value
plsc_exact_rank_two	X	1	1	-6.5
plsc_exact_rank_two	X	2	1	-3.5
plsc_exact_rank_two	X	3	1	-2.5
plsc_exact_rank_two	X	4	1	0.5
plsc_exact_rank_two	X	5	1	0.5
plsc_exact_rank_two	X	6	1	1.5
plsc_exact_rank_two	X	7	1	4.5
plsc_exact_rank_two	X	8	1	5.5
plsc_exact_rank_two	X	1	2	3.5
plsc_exact_rank_two	X	2	2	4
plsc_exact_rank_two	X	3	2	0.5
plsc_exact_rank_two	X	4	2	1
plsc_exact_rank_two	X	5	2	1
plsc_exact_rank_two	X	6	2	-2.5
plsc_exact_rank_two	X	7	2	-2
plsc_exact_rank_two	X	8	2	-5.5
plsc_exact_rank_two	X	1	3	-0.8
plsc_exact_rank_two	X	2	3	0.8
plsc_exact_rank_two	X	3	3	-0.8
plsc_exact_rank_two	X	4	3	0.8
plsc_exact_rank_two	X	5	3	0.8
plsc_exact_rank_two	X	6	3	-0.8
plsc_exact_rank_two	X	7	3	0.8
plsc_exact_rank_two	X	8	3	-0.8
plsc_exact_rank_two	X	1	4	-0.7
plsc_exact_rank_two	X	2	4	-0.8
plsc_exact_rank_two	X	3	4	-0.1
plsc_exact_rank_two	X	4	4	-0.2
plsc_exact_rank_two	X	5	4	-0.2
plsc_exact_rank_two	X	6	4	0.5
plsc_exact_rank_two	X	7	4	0.4
plsc_exact_rank_two	X	8	4	1.1
plsc_exact_rank_two	Y	1	1	-4.3
plsc_exact_rank_two	Y	2	1	-3.2
plsc_exact_rank_two	Y	3	1	-1.3
plsc_exact_rank_two	Y	4	1	-0.2
plsc_exact_rank_two	Y	5	1	-0.2
plsc_exact_rank_two	Y	6	1	1.7
plsc_exact_rank_two	Y	7	1	2.8
plsc_exact_rank_two	Y	8	1	4.7
plsc_exact_rank_two	Y	1	2	-0.5
plsc_exact_rank_two	Y	2	2	3
plsc_exact_rank_two	Y	3	2	-1.5
plsc_exact_rank_two	Y	4	2	2
plsc_exact_rank_two	Y	5	2	2
plsc_exact_rank_two	Y	6	2	-2.5
plsc_exact_rank_two	Y	7	2	1
plsc_exact_rank_two	Y	8	2	-3.5
plsc_exact_rank_two	Y	1	3	-1.3
plsc_exact_rank_two	Y	2	3	-0.7
plsc_exact_rank_two	Y	3	3	-0.5
plsc_exact_rank_two	Y	4	3	0.1
plsc_exact_rank_two	Y	5	3	0.1
plsc_exact_rank_two	Y	6	3	0.3
plsc_exact_rank_two	Y	7	3	0.9
plsc_exact_rank_two	Y	8	3	1.1
plsc_exact_rank_two	Y	1	4	1.5
plsc_exact_rank_two	Y	2	4	0
plsc_exact_rank_two	Y	3	4	0.9
plsc_exact_rank_two	Y	4	4	-0.6
plsc_exact_rank_two	Y	5	4	-0.6
plsc_exact_rank_two	Y	6	4	0.3
plsc_exact_rank_two	Y	7	4	-1.2
plsc_exact_rank_two	Y	8	4	-0.3
